Name of Place,Type,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
Bangaram Island,Beach / Uninhabited Island & Lagoon / Marine Eco-Tourism / Resort Island,https://lakshadweep.gov.in/islands/bangaram/,https://en.wikipedia.org/wiki/Bangaram_Atoll,"None on island; nearest mainland railhead is Kochi Railway Station, approx ~400 km + sea transfer (via Agatti)",Not applicable on island; mainland Kochi bus stands serve for initial travel.,No metro available.,Agatti Airport (Agatti Island) — Bangaram is ~12 km by boat from Agatti Airport.,Access largely daylight hours; resort stays operate year-round when weather permits. Sea and boat transfers depend on sea/weather. Not documented fixed “opening/closing” hours.,Resort cost for accommodation; permit required to enter Lakshadweep (travellers must obtain permit via Lakshadweep administration) and charges for boat/sea transfer. Specific ₹ amount for entry Not documented.,"October to May — fair season, calm seas, good for water sports and diving. Monsoon period (approx mid-May to September) brings heavy rains & rough seas.",Reachable by flight to Agatti then boat; island is uninhabited so access limited to resort guests; no roads; walking on beaches only; no wheelchair infrastructure.,Yes through resort operators / Lakshadweep tourism packages; water-sports instructors; snorkeling / scuba guides.,At Agatti Island for initial leg; Bangaram resort guests arrange boat transfers; parking not applicable on Bangaram itself beyond resort area.,"Resort cottages, restaurant at the resort; minimal infrastructure beyond that; supply from Agatti.",Known for phosphorescent plankton which glow bioluminescent at night; pristine coral reefs; one of the more secluded islands; unpolluted environment.
Kavaratti Island,Beach / Lagoon / Marine Eco-Tourism / Administrative & Cultural Centre,https://lakshadweep.gov.in/islands/kavaratti/,https://en.wikipedia.org/wiki/Kavaratti,None on island; nearest mainland station Kochi (~404 km) plus boat/ship/flight transfer.,Not applicable on island; mainland bus/terminal at Kochi.,No metro available.,Agatti Airport — then boat or ship / speed vessel / inter-island vessel to Kavaratti.,Beaches / lagoon activities accessible in daytime; water sports / aquarium etc operate by daylight; sea vessel schedules seasonal. Not documented exact hours.,Permit needed to visit Lakshadweep; water-sport / scuba / glass-bottom boat / marine aquarium fees may apply; specific ₹ amounts Not documented.,October to May - during fair season; avoid monsoon when lagoon rough and sea travel disrupted.,"Well developed compared to many islands; has more infrastructure; beaches / lagoons easy; marine aquarium; snorkeling / diving; limited for mobility disabled (steps, boat-based transfers).",Yes – PADI dive centre in Kavaratti; tourism packages; local guides.,On arrival at jetty / port area; limited; used mainly for foot traffic; no large vehicle parking on small island.,"Guest houses / tourist huts, restaurants, shops near main settlement; mosque / cultural sites (Ujra Mosque, Mohidden Mosque, etc.)","Admin HQ of Lakshadweep; many mosques including Ujra and Mohidden (historic); marine life rich; known for coral reef, glass-bottom boat rides; calm lagoons, water sports."
Kadmat Island,Beach / Lagoon / Eco-Tourism / Water-Sports Hub,Lakshadweep Tourism website (packages covering Kadmat),https://en.wikipedia.org/wiki/Kadmat_Beach,None on island; nearest mainland station Kochi plus sea/air transfer.,Not applicable on island; mainland bus in Kochi.,No metro available.,Agatti Airport → then by boat/vessel to Kadmat.,Daylight hours for beach / lagoon / water-sports; packages schedule water activities; Not documented precise timings.,Permit needed; water-sport hire fees; package pricing; specific ₹ amounts Not documented.,October to May for calm seas and good visibility. Monsoon months rough and some services suspended.,Inter-island boat access; internal paths; island small so walking is feasible; limited facilities for people with mobility restrictions.,"Yes – scuba diving, snorkeling guides; tourism operators.",At arrival jetty / docking area; minimal.,"Tourist huts or cottages, eateries, basic shops; limited but sufficient.","Kadmat Beach awarded “Blue Flag” eco-label; excellent for snorkelling, coral reef, aquatic life; marine awareness programmes held here."
Minicoy Island,Island / Cultural Heritage / Beach / Lighthouse / Eco-Tourism,Lakshadweep Tourism packages / “Taratashi / Samudram” etc.,https://en.wikipedia.org/wiki/Minicoy_Island_Lighthouse (for the lighthouse) & general Minicoy pages,None on island; nearest on mainland via Kochi plus transfers.,Not applicable on island; Kochi / Kerala mainland.,No metro available.,Agatti Airport → then by ship/vessel to Minicoy or via inter-island vessels depending on schedule. Some package ships connect.,Beaches / lighthouse open during daylight; sea voyage / ferry/tour schedules; Not documented full hours.,Permit required to visit Lakshadweep; lighthouse entry may allow tourist access; water-sport / village tour fees; Not documented amounts.,"October to May for favorable weather, calm sea; monsoon season (mid-May-Sept) less ideal.",Island travel via boats or ships; internal roads; for cultural/tourist village areas walking; limited infrastructure.,"Local guides for boat trips, lighthouse visits, village tours.",At village/jetty areas; minimal.,"Tourist cottages, local eateries, shops; markets; cultural performances.",Minicoy has distinct culture & language closer to Maldives style; famous lighthouse (built 1885) which flash every 15 seconds. Thundi Beach in Minicoy is eco-Blue Flag certified.
Kalpeni Island,Coral Atoll / Lagoon / Beach / Eco-Tourism / Water-Sports,Tourism packages page of Lakshadweep; “Marine Wealth Awareness Programme includes Kalpeni”,Pages on Kalpeni Island (info in travel guides / articles) — implied though specific-island page exists. Not documented strong separate wiki link in retrieved sources.,None on island; mainland via Kochi + sea/air transfer.,Not applicable on island.,No metro available.,Agatti Airport → boat/vessel to Kalpeni.,Beach and lagoon accessible in daylight; Water-sports schedule governed by package operators; Not documented fixed opening hours.,Permit required; water activity hire fees; Not documented specific ₹ amounts.,"October to May (sea calm, good visibility, full range of water sports). Monsoon less favorable.","Lagoon/reef access via boats; small island, walking; limited services; not fully accessible for those needing specialized mobility support.","Yes – snorkeling, diving, kayaking guided by local operators.",At jetty / arrival docking point; limited.,Tourist huts or cottages; small shops and eateries; basic facilities.,"Scenic lagoons; less crowded compared to some islands; good for eco-tourism, tranquility; part of “Marine Wealth Awareness Programme”."
Agatti Island,Beach / Lagoon / Gateway Island / Eco-Tourism,https://lakshadweep.gov.in/islands/agatti/,https://en.wikipedia.org/wiki/Agatti_Airport (airport page; island details partly included),None on island; nearest mainland Kochi (~460 km + sea/air transfer),Not applicable on island,No metro available,Agatti Airport (only airstrip in Lakshadweep) — within island,Accessible year-round (weather permitting),Lakshadweep entry permit required; fees for water sports not fixed (Not documented),October – May (calm sea & flights operate regularly),"Flights from Kochi; internal travel by foot, cycle, jeep; island small & easy to explore","Yes — diving, snorkeling, fishing tours available",Near airport / jetty; limited,"Resorts, restaurants, small shops, water-sports centres",Only airport in Lakshadweep; turquoise lagoon; main hub for tourists before moving to other islands.
Amini Island,Coral Atoll / Cultural Island / Beach Destination,Lakshadweep Tourism packages (Not documented specific page),https://en.wikipedia.org/wiki/Amini,None; Kochi on mainland (~400 km + sea/air transfer),Not applicable,No metro available,Agatti Airport → ferry/boat to Amini (~50 km),Daytime access; open year-round depending on sea conditions,Permit required; no fixed ticket (Not documented),October – April (calm weather),"Inter-island ferries; narrow village roads, mostly walkable",Local guides for cultural heritage & handicrafts,Minimal at jetty,"Guesthouses, eateries, local shops","Known for traditional craftsmanship (stone carving, walking sticks); historic significance in Lakshadweep’s Islamic heritage."
Chetlat Island,Remote Island / Lagoon / Beach Destination,Not documented,https://en.wikipedia.org/wiki/Chetlat,None; Kochi on mainland (~450 km + sea/air transfer),Not applicable,No metro available,Agatti Airport (~60 km by boat),Accessible year-round when sea calm,Permit required (Not documented exact fees),October – March (dry season),By boat from Agatti/Kadmat; limited infrastructure,Rare; mostly eco-tourist stays arranged by government packages,Minimal at jetty,"Very basic — few homestays, shops, medical aid","Historically known for coir rope making; calm environment; secluded, off-beat destination."
Kalpeni Tilakkam & Pitti Islets,Uninhabited Islets / Marine Bird Sanctuary / Eco-Tourism,Not documented,https://en.wikipedia.org/wiki/Kalpeni,None; Kochi mainland (~450 km + sea transfer),Not applicable,No metro available,"Agatti Airport (~70 km, then boat ride)",Accessible during daylight via boat trips,Part of tourist package fees (Not documented exact ₹),October – March (for bird watching & snorkeling),Only via boat; no permanent settlements,Organized by Lakshadweep tourism operators,Not applicable,None — carry essentials from Kalpeni,Known for seabird colonies; excellent snorkeling & diving site; part of Kalpeni group.
Bitra Island,Remote Island / Cultural Village / Scenic Beach,Not documented,https://en.wikipedia.org/wiki/Bitra,None; Kochi (~480 km + transfers),Not applicable,No metro available,Agatti Airport (~100 km by boat),Accessible via boat/ship; no fixed hours,Permit required (Not documented exact fees),October – March (calm sea),By ship/boat only; limited infrastructure,Limited; occasionally arranged by Lakshadweep tourism,Minimal at jetty,"Very basic — a few homes, small shops; no hotels","Smallest inhabited island in Lakshadweep; population <300; has a shrine of Malik Mulla, a revered figure."
Kiltan Island,Coral Island / Beach / Historic Trade Hub,Not documented,https://en.wikipedia.org/wiki/Kiltan,None; Kochi on mainland (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~60 km by boat),"Accessible during daytime, subject to sea conditions",Entry permit required (Not documented),October – April,Inter-island boats/ships; narrow village roads,Local guides available for cultural tours,Small parking near jetty,"Guesthouses, local eateries, shops",Famous for old Arab trade links; rich folklore & unique culture.
Suheli Par,Uninhabited Atoll / Diving Spot / Eco-Tourism,Not documented,https://en.wikipedia.org/wiki/Suheli_Par,None; Kochi on mainland (~400 km + sea transfer),Not applicable,No metro available,Agatti Airport (~100 km by boat),Day trips only; weather-dependent,Permit & package tour fee (Not documented),"November – March (calm sea, clear waters)",Boat trips from Kavaratti/Agatti,Diving & fishing expeditions organized,Not applicable,None — carry essentials,"Known for manta rays, tuna fish, and pristine lagoons; restricted for conservation."
"Minicoy Lighthouse, Minicoy Island",Historic Lighthouse / Viewpoint,https://lakshadweep.gov.in/islands/minicoy/,https://en.wikipedia.org/wiki/Minicoy_lighthouse,None; Kochi (~400 km + ship/flight transfer),Not applicable,No metro available,"Agatti Airport (~400 km, then ship to Minicoy)",8:00 AM – 6:00 PM,Included in island permit (Not documented),October – May,Within Minicoy island; easily reachable by cycle or scooter,Available with local packages,Near lighthouse grounds,"Restaurants, guesthouses, local shops",Built in 1885 by British; 300 ft tall; panoramic views of Arabian Sea.
Bangaram Island,Beach / Luxury Island Resort / Scuba Diving Destination,https://lakshadweep.gov.in/islands/bangaram/,https://en.wikipedia.org/wiki/Bangaram_Atoll,None; Kochi on mainland (~400 km + transfer),Not applicable,No metro available,Agatti Airport (8 km boat ride),"Accessible year-round, resort timings flexible",Permit & resort booking required (charges vary),October – March,Short boat ride from Agatti,"Yes — diving, snorkeling, turtle & dolphin watching",Limited at jetty,"Luxury resort, restaurant, dive centres",Popular honeymoon destination; one of the few islands where alcohol is permitted.
Andrott Island,Largest Island / Cultural & Religious Centre / Beaches,Not documented,https://en.wikipedia.org/wiki/Andrott,None; Kochi (~300 km + sea transfer),Not applicable,No metro available,Agatti Airport (~200 km away; boat/ship required),Accessible during daytime by ship/ferry,Entry permit required (Not documented),October – April,Ships & ferries connect Andrott with Kochi and other islands,Available with local packages,Near jetty,"Lodges, shops, local restaurants",Houses tomb of Saint Ubaidullah; strong Buddhist history; rich marine life.
Kalpeni Island,Lagoon / Beach / Water Sports Destination,https://lakshadweep.gov.in/islands/kalpeni/,https://en.wikipedia.org/wiki/Kalpeni,None; Kochi (~400 km + sea transfer),Not applicable,No metro available,Agatti Airport (~75 km by sea),Day visits & overnight stays permitted,Entry permit required; package charges vary,"October – March (calm sea, pleasant weather)",Ships from Kochi; ferries between islands,Yes — water sports & local tours,Limited near jetty,"Resorts, homestays, shops, eateries","Known for snorkeling, kayaking, glass-bottom boat rides; unique coral debris called Cheriyam Pitti."
"Cheriyam Island (part of Kalpeni Atoll, Lakshadweep)",Uninhabited Islet / Eco-Tourism Spot,Not documented,Not documented,None; Kochi (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~70 km away + boat),Day trips only,Included in permits & tour packages,November – February (ideal for clear waters),Accessible via boats from Kalpeni,Only through local boat operators,Not applicable,None — carry essentials,"Known for white sandy beaches, nesting seabirds, and peaceful solitude."
"Pitti Island (Lakshadweep, near Kalpeni)",Uninhabited Bird Sanctuary / Diving Spot,Not documented,https://en.wikipedia.org/wiki/Pitti_Island,None; Kochi (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~70 km away + sea transfer),Daytime access only,Permit required (Not documented),October – April,Boats from Kalpeni,Limited; only with permission,Not applicable,None,"Declared bird sanctuary; nesting site for terns, turtles, and rare migratory species."
"Kalpitti Island (near Kavaratti, Lakshadweep)",Uninhabited Islet / Nature Spot,Not documented,Not documented,None; Kochi (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~20 km by boat),Day trips only,Included in Kavaratti permits,October – March,Boats from Kavaratti,Yes — small trips arranged locally,Not applicable,Resorts & shops in Kavaratti,"Famous for secluded beaches, picnic spots, dolphin sightings."
Perumal Par,Atoll / Diving & Fishing Spot,Not documented,https://en.wikipedia.org/wiki/Perumal_Par,None; Kochi (~400 km + transfer),Not applicable,No metro available,Agatti Airport (~100 km by sea),Seasonal visits only,Permit required (Not documented),November – March,Special boat trips from Agatti/Kavaratti,Available with diving/fishing operators,Not applicable,None — remote island,"Famous for deep-sea fishing, coral reefs, and snorkeling adventures."
