Place,Type,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
"Amber Fort, Jaipur (Rajasthan)",Historical Monument / Fort,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Amer_Fort,Jaipur Junction (11 km),Sindhi Camp Bus Stand (10 km),No metro available,Jaipur International Airport (22 km),8:00 AM to 6:00 PM (Daily),"Indians ₹25, Foreigners ₹200; Composite ticket available ₹190/₹500",October to March (pleasant weather),"Road accessible, elephant rides available, some stairs involved","Available in multiple languages, audio guides ₹118","Available, ₹20-50 per vehicle","Restaurants, cafes, souvenir shops, restrooms","UNESCO World Heritage Site, famous for mirror work (Sheesh Mahal), elephant rides, sound & light show available"
"Hawa Mahal, Jaipur (Rajasthan)",Historical Monument / Palace,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Hawa_Mahal,Jaipur Junction (3 km),Sindhi Camp Bus Stand (2 km),No metro available,Jaipur International Airport (12 km),9:00 AM to 4:30 PM (Daily),"Indians ₹50, Foreigners ₹200",October to March (cool weather),"Road accessible, stairs to upper floors","Available, local guides ₹300-500","Public parking available nearby, ₹10-20","City Palace nearby, shops, restaurants, restrooms","Iconic Pink City landmark, 953 windows, built for royal women to observe street life"
"City Palace, Jaipur (Rajasthan)",Historical Monument / Palace,https://www.tourism.rajasthan.gov.in,"https://en.wikipedia.org/wiki/City_Palace,_Jaipur",Jaipur Junction (3 km),Sindhi Camp Bus Stand (2 km),No metro available,Jaipur International Airport (12 km),9:30 AM to 5:00 PM (Daily),"Indians ₹200, Foreigners ₹500; Museum extra ₹75/₹400",October to March (pleasant weather),"Wheelchair accessible, well-maintained roads","Available in multiple languages, ₹400-600","Available, ₹20-30 per vehicle","Museums, cafes, gift shops, restrooms","Still residence of Jaipur royal family, textile gallery, armory museum"
"Jantar Mantar, Jaipur (Rajasthan)",Historical Monument / Observatory,https://www.tourism.rajasthan.gov.in,"https://en.wikipedia.org/wiki/Jantar_Mantar,_Jaipur",Jaipur Junction (3 km),Sindhi Camp Bus Stand (2 km),No metro available,Jaipur International Airport (12 km),9:00 AM to 4:30 PM (Daily)," Indians ₹50, Foreigners ₹200",October to March (clear skies),"Road accessible, some climbing required","Available, astronomical guides recommended ₹300-500","Available nearby, ₹10-20","City Palace adjacent, shops, cafes","UNESCO World Heritage Site, world's largest stone sundial, 18th-century astronomical instruments"
"City Palace, Udaipur (Rajasthan)",Historical Monument / Palace,https://www.tourism.rajasthan.gov.in,"https://en.wikipedia.org/wiki/City_Palace,_Udaipur",Udaipur City Railway Station (3 km),Central Bus Stand (2 km),No metro available,Maharana Pratap Airport (22 km),9:30 AM to 5:30 PM (Daily),"Indians ₹300, Foreigners ₹600; Museum extra charges",October to March (cool weather),"Road accessible, elevator available, some stairs","Available in multiple languages, ₹500-800","Available, ₹20-50 per vehicle","Restaurants, museums, boat services, shops","Largest palace complex in Rajasthan, panoramic lake views, crystal gallery"
"Lake Pichola, Udaipur (Rajasthan)",Lake / Natural Attraction,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Lake_Pichola,Udaipur City Railway Station (4 km),Central Bus Stand (3 km),No metro available,Maharana Pratap Airport (24 km),Boat rides: 9:00 AM to 6:00 PM,Boat rides ₹400-800 per person depending on duration,"October to March (pleasant weather, full water levels)","Road accessible, boat boarding points available",Boat tours with guides available,"Available at multiple ghats, ₹20-30","Restaurants, hotels, boat services, ghats","Artificial lake from 1362, Lake Palace and Jag Mandir accessible by boat"
"Jaisalmer Fort (Sonar Quila), Jaisalmer (Rajasthan)",Historical Monument / Living Fort,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Jaisalmer_Fort,Jaisalmer Railway Station (2 km),Main Bus Stand (1.5 km),No metro available,Jaisalmer Airport (5 km),"Open 24 hours (living fort), monuments 9 AM to 6 PM","Fort entry free, individual monuments ₹30-100",October to March (pleasant weather),"Road accessible, narrow lanes inside, some stairs","Available, local guides ₹300-500","Available outside fort, ₹20-30","Hotels, restaurants, shops, museums within fort","UNESCO World Heritage Site, living fort with residents, golden sandstone architecture"
"Sam Sand Dunes, Jaisalmer (Rajasthan)",Desert / Natural Attraction,https://www.tourism.rajasthan.gov.in,Not documented,Jaisalmer Railway Station (45 km),Jaisalmer Main Bus Stand (42 km),No metro available,Jaisalmer Airport (50 km),"Best at sunset and sunrise, camps operate 24/7","Desert entry free, camel safari ₹500-1500, cultural programs ₹800-2000","October to March (cool weather), avoid summer","4WD vehicles recommended, camel rides available",Desert camps provide guides and cultural programs,"Available at camps, free with bookings","Desert camps, restaurants, restrooms, cultural shows","Famous for camel safaris, desert camping, cultural folk performances, sand dune adventures"
"Mehrangarh Fort, Jodhpur (Rajasthan)",Historical Monument / Fort,https://www.mehrangarh.org,https://en.wikipedia.org/wiki/Mehrangarh,Jodhpur Junction (5 km),Central Bus Stand (4 km),No metro available,Jodhpur Airport (8 km),9:00 AM to 5:00 PM (Daily)," Indians ₹100, Foreigners ₹600; Audio guide extra ₹150",October to March (pleasant weather),"Road accessible, elevators available, zip-line adventure",Audio guides and human guides available,"Available, ₹20-30 per vehicle","Museum, cafe, gift shop, restrooms","One of India's largest forts, museum with royal artifacts, panoramic city views, zip-lining available"
"Umaid Bhawan Palace, Jodhpur (Rajasthan)",Palace / Heritage Hotel,https://www.tajhotels.com,https://en.wikipedia.org/wiki/Umaid_Bhawan_Palace,Jodhpur Junction (8 km),Central Bus Stand (7 km),No metro available,Jodhpur Airport (5 km),Museum: 9:00 AM to 5:00 PM,"Museum ₹100 for Indians, ₹200 for Foreigners",October to March (pleasant weather),"Well-maintained roads, wheelchair accessible",Available for museum section,"Available, ₹30-50","Luxury hotel, restaurants, spa, gardens","World's largest private residence, part heritage hotel, built with golden sandstone, vintage car collection"
"Pushkar Lake, Pushkar (Rajasthan)",Sacred Lake / Religious Site,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Pushkar_Lake,Ajmer Junction (15 km),Pushkar Bus Stand (1 km),No metro available,Jaipur International Airport (150 km),"Open 24 hours, best at sunrise/sunset","Free, donations voluntary","October to March, Pushkar Fair in November","Well-connected roads, ghats accessible",Local priests and guides available,"Available, ₹10-20 per vehicle","Temples, dharamshalas, cafes, shops, ghats","Holy pilgrimage site, only Brahma temple in world nearby, Pushkar Camel Fair in November"
"Brahma Temple, Pushkar (Rajasthan)",Temple / Religious Site,Not available,"https://en.wikipedia.org/wiki/Brahma_Temple,_Pushkar",Ajmer Junction (15 km),Pushkar Bus Stand (0.5 km),No metro available,Jaipur International Airport (150 km),"6:30 AM to 1:30 PM, 3:00 PM to 9:00 PM","Free, donations voluntary","October to March, avoid summer heat","Walking distance from lake, steps to climb",Temple priests provide information,"Available nearby, ₹10-20","Pushkar Lake, shops, restaurants, dharamshalas","World's only Brahma temple, red spire and silver turtle on floor, very sacred Hindu site"
"Ajmer Sharif Dargah, Ajmer (Rajasthan)",Religious Site / Sufi Shrine,Not available,https://en.wikipedia.org/wiki/Ajmer_Sharif_Dargah,Ajmer Junction (2 km),Central Bus Stand (1.5 km),No metro available,Jaipur International Airport (135 km),"Open 24 hours, best after morning prayers","Free, donations voluntary","Year-round, Urs festival special","Road accessible, crowded during festivals",Local guides available for historical context,"Available, ₹20-30, can be crowded","Food stalls, flower vendors, accommodations, shops","Sufi saint Moinuddin Chishti's shrine, visited by all faiths, qawwali performances, Urs festival annually"
"Chittorgarh Fort, Chittorgarh (Rajasthan)",Historical Monument / Fort,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Chittorgarh_Fort,Chittorgarh Junction (6 km),Chittorgarh Bus Stand (5 km),No metro available,Udaipur Airport (120 km),9:30 AM to 5:30 PM (Daily)," Indians ₹40, Foreigners ₹600",October to March (pleasant weather),"Road accessible, extensive walking required","Available, recommended due to vast area","Available, ₹20-30 per vehicle","Museum, cafeteria, restrooms, shops","UNESCO World Heritage Site, largest fort in India, Rani Padmini's palace, jauhar history"
"Ranthambore National Park, Sawai Madhopur (Rajasthan)",Wildlife Sanctuary / National Park,https://www.ranthamborenationalpark.com,https://en.wikipedia.org/wiki/Ranthambore_National_Park,Sawai Madhopur Junction (11 km),Sawai Madhopur (10 km),No metro available,Jaipur International Airport (160 km),"Oct-June: 6:30 AM to 10:00 AM, 2:30 PM to 6:00 PM"," Indians ₹360-1100, Foreigners ₹1350-2200 (varies by zone and vehicle)",October to April (tiger sightings better in March-May),"Only by permitted safari vehicles, advance booking required",Forest guides mandatory with each safari,"Available at entry gates, ₹50-100","Resorts, restaurants, interpretation center","Famous for tigers, ancient Ranthambore Fort inside park, advance booking essential, closed during monsoon"
"Keoladeo National Park, Bharatpur (Rajasthan)",Wildlife Sanctuary / Bird Sanctuary,https://www.bharatpurbirdsanctuary.in,https://en.wikipedia.org/wiki/Keoladeo_National_Park,Bharatpur Junction (5 km),Bharatpur Bus Stand (4 km),No metro available,Delhi Airport (185 km),6:00 AM to 6:00 PM (Daily)," Indians ₹75, Foreigners ₹500; Vehicle entry ₹50-200",October to March (migratory birds present),"Cycle rickshaws, cycles, electric vehicles available","Bird guides available, recommended for bird identification","Available at entrance, ₹20-30","Visitor center, canteen, cycle rental, lodges","UNESCO World Heritage Site, 370+ bird species, migratory birds from Siberia, cycle safaris popular"
"Sariska Tiger Reserve, Alwar (Rajasthan)",Wildlife Sanctuary / Tiger Reserve,https://www.sariskapark.com,https://en.wikipedia.org/wiki/Sariska_Tiger_Reserve,Alwar Junction (37 km),Alwar Bus Stand (35 km),No metro available,Delhi Airport (200 km),"6:30 AM to 10:00 AM, 2:30 PM to 5:30 PM"," Indians ₹175-425, Foreigners ₹1050-1925 (varies by zone)",October to April (wildlife sightings better),"Safari vehicles only, advance booking recommended",Forest guides provided with each safari,"Available at entry gates, ₹50","Forest rest houses, canteen, interpretation center","Tiger rehabilitation success story, ancient Kankwari Fort inside, Hanuman temple popular"
"Bhangarh Fort, Alwar (Rajasthan)",Historical Monument / Haunted Fort,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Bhangarh_Fort,Dausa Junction (32 km),Thanagazi (8 km),No metro available,Jaipur International Airport (85 km),Sunrise to sunset only (ASI restrictions)," Indians ₹25, Foreigners ₹300",October to March (pleasant weather),"Road accessible, some trekking required inside","Local guides available, stories about paranormal activities","Available, ₹20-30 per vehicle","Limited, basic food stalls nearby","ASI protected site, entry prohibited after sunset, famous for paranormal stories, 17th-century ruins"
"Mount Abu, Sirohi (Rajasthan)",Hill Station / Religious Site,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Mount_Abu,Abu Road (28 km),Mount Abu Bus Stand (in town),No metro available,Udaipur Airport (185 km),"Year-round accessibility, temples have specific hours"," Varies by attraction, Dilwara Temples free, others ₹25-100","March to June (summer retreat), October to February (pleasant)","Winding mountain roads, good connectivity",Available for temples and viewpoints,"Available at major attractions, ₹20-50","Hotels, restaurants, boat club, markets","Only hill station in Rajasthan, Dilwara Jain temples famous for marble work, Nakki Lake, sunset point"
"Dilwara Temples, Mount Abu (Rajasthan)",Temple / Religious Site,https://en.wikipedia.org/wiki/Dilwara_Temples,https://en.wikipedia.org/wiki/Dilwara_Temples,Abu Road (32 km),Mount Abu (5 km),No metro available,Udaipur Airport (190 km),12:00 PM to 6:00 PM (closed during lunch 12:30-1:30 PM),"Free, donations accepted",October to March (pleasant weather),"Road accessible, no leather items allowed inside",Temple guides available for architectural explanations,"Available, ₹20-30 per vehicle","Mount Abu town facilities, restaurants, hotels","11th-15th century Jain temples, incredible marble carvings, mobile phones not allowed inside"
"Junagarh Fort, Bikaner (Rajasthan)",Historical Monument / Fort,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Junagarh_Fort,Bikaner Junction (2 km),Central Bus Stand (1.5 km),No metro available,Jodhpur Airport (250 km),10:00 AM to 4:30 PM (Daily)," Indians ₹50, Foreigners ₹300; Camera ₹50, Video ₹100",October to March (pleasant weather),"Road accessible, well-maintained","Available, recommended for historical context","Available, ₹20-30 per vehicle","Museum, restrooms, nearby markets","Unconquered fort, Mughal-Gujarati-Rajput architecture mix, museum with royal artifacts"
"Camel Breeding Farm, Bikaner (Rajasthan)",Research Center / Unique Attraction,Not documented,Not documented,Bikaner Junction (8 km),Central Bus Stand (7 km),No metro available,Jodhpur Airport (250 km),3:00 PM to 5:00 PM (Daily)," Indians ₹20, Foreigners ₹100",October to March (pleasant weather),"Road accessible, flat terrain",Farm guides explain breeding process,"Available, ₹20-30","Limited, basic facilities","Asia's largest camel research center, camel milk products available, research on camel breeding"
"Karni Mata Temple (Rat Temple), Deshnoke (Rajasthan)",Temple / Unique Religious Site,Not available,https://en.wikipedia.org/wiki/Karni_Mata_Temple,Bikaner Junction (30 km),Deshnoke (1 km),No metro available,Jodhpur Airport (280 km),6:00 AM to 10:00 PM (Daily),"Free, donations voluntary",October to March (pleasant weather),"Road accessible, temple steps",Local guides explain temple significance,"Available, ₹10-20","Food stalls, dharamshala, shops","Famous for 20,000+ rats considered sacred, white rats considered especially auspicious, prasad shared with rats"
"Shekhawati Region (Nawalgarh, Mandawa, Jhunjhunu) (Rajasthan)",Heritage Towns / Open Art Gallery,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Shekhawati,Jhunjhunu Junction (varies 5-15 km),Individual town bus stands,No metro available,Delhi Airport (250 km),Havelis generally 9:00 AM to 5:00 PM," Varies by haveli, ₹50-200 per haveli",October to March (pleasant weather),"Road accessible, heritage walks popular",Heritage walks and haveli tours available,"Available in each town, ₹20-30","Heritage hotels, restaurants, craft shops","Open art gallery of Rajasthan, painted havelis, merchant heritage, fresco paintings from 18th-19th century"
"Kumbhalgarh Fort, Rajsamand (Rajasthan)",Historical Monument / Fort,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Kumbhalgarh,Falna Junction (50 km),Kumbhalgarh (2 km),No metro available,Udaipur Airport (85 km),9:00 AM to 6:00 PM (Daily)," Indians ₹40, Foreigners ₹600",October to March (pleasant weather),"Mountain road, well-connected, some climbing","Available, light and sound show in evening","Available, ₹20-30 per vehicle","Wildlife sanctuary, resorts, restaurants","UNESCO World Heritage Site, second longest wall after Great Wall of China, birthplace of Maharana Pratap"
"Ranakpur Jain Temple, Pali (Rajasthan)",Temple / Religious Site,https://en.wikipedia.org/wiki/Ranakpur_Jain_temple,https://en.wikipedia.org/wiki/Ranakpur_Jain_temple,Falna Junction (39 km),Ranakpur (1 km),No metro available,Udaipur Airport (90 km),12:00 PM to 5:00 PM (closed during prayer times),"Free, donations accepted, no leather items",October to March (pleasant weather),"Road accessible, temple steps",Temple volunteers explain architecture,"Available, ₹20-30","Dharamshala, restaurants, shops","15th-century temple, 1444 uniquely carved pillars, exquisite marble work, no two pillars identical"
Banswara (City of Hundred Islands) (Rajasthan),Natural Beauty / Lake Destination,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Banswara,Ratlam Junction (75 km),Banswara Bus Stand (in city),No metro available,Udaipur Airport (160 km),"Open 24 hours, boat rides during daylight","Free, boat charges ₹200-500 per person","October to March (pleasant weather, good water levels)","Road accessible, boat services available",Boat tours with local guides available,"Available at ghats, ₹20-30","Hotels, restaurants, boat services, markets","100+ islands in Mahi River, tribal culture, Holi and Diwali festivals special, backwaters of Rajasthan"
"Gagron Fort, Jhalawar (Rajasthan)",Historical Monument / Water Fort,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Gagron_Fort,Kota Junction (70 km),Jhalawar (10 km),No metro available,Kota Airport (75 km),Sunrise to sunset,Not documented,October to March (pleasant weather),"Road accessible, some walking required",Local guides available for historical context,"Available, ₹20-30 per vehicle","Limited facilities, basic refreshments","UNESCO World Heritage Site, unique water fort surrounded by rivers on three sides, no human habitation inside"
"Alwar City Palace, Alwar (Rajasthan)",Palace / Historical Monument,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Alwar,Alwar Junction (2 km),Alwar Bus Stand (1.5 km),No metro available,Delhi Airport (160 km),10:00 AM to 5:00 PM (Closed on Fridays)," Indians ₹20, Foreigners ₹150",October to March (pleasant weather),"Road accessible, well-maintained",Available for museum sections,"Available, ₹20-30 per vehicle","Museum, cafeteria, gardens, markets nearby","18th-century palace, museum with Mughal and Rajput artifacts, Company School paintings"
"Fateh Sagar Lake, Udaipur (Rajasthan)",Lake / Natural Attraction,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Fateh_Sagar_Lake,Udaipur City Railway Station (5 km),Central Bus Stand (4 km),No metro available,Maharana Pratap Airport (25 km),8:00 AM to 8:00 PM (boat rides),Boat rides ₹150-400 per person,"October to March (pleasant weather, full water levels)","Road accessible, multiple boarding points",Boat tours available with commentary,"Available at Moti Magri and other points, ₹20-30","Moti Magri, Saheliyon Ki Bari, restaurants, gardens","Second largest lake in Udaipur, three islands including Nehru Park, solar observatory"
"Saheliyon Ki Bari, Udaipur (Rajasthan)",Garden / Historical Site,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Saheliyon-ki-Bari,Udaipur City Railway Station (3 km),Central Bus Stand (2.5 km),No metro available,Maharana Pratap Airport (25 km),8:00 AM to 7:00 PM (Daily)," Indians ₹30, Foreigners ₹80",October to March (gardens in full bloom),"Road accessible, wheelchair friendly",Garden guides available,"Available, ₹20-30 per vehicle","Fateh Sagar Lake nearby, cafes, restrooms","Queen's courtyard garden, marble fountains, lotus pools, monsoon pavilions, rain-fed fountains"
"Eklingji Temple, Udaipur (Rajasthan)",Temple / Religious Site,Not available,https://en.wikipedia.org/wiki/Eklingji,Udaipur City Railway Station (22 km),Udaipur Central Bus Stand (20 km),No metro available,Maharana Pratap Airport (45 km),4:30 AM to 7:30 PM (with lunch break 1:30-4:00 PM),"Free, donations accepted",October to March (pleasant weather),"Road accessible, temple steps",Temple priests provide information,"Available, ₹10-20 per vehicle","Prasad shops, small restaurants, dharamshala","Family deity of Mewar rulers, 8th-century temple, four-faced Shiva lingam, intricate architecture"
"Nathdwara Temple, Rajsamand (Rajasthan)",Temple / Religious Site,Not available,https://en.wikipedia.org/wiki/Nathdwara,Mavli Junction (25 km),Nathdwara Bus Stand (1 km),No metro available,Udaipur Airport (50 km),Multiple darshan times from 5:30 AM to 9:30 PM,"Free, VIP darshan ₹51-501","Year-round, festivals especially vibrant","Road accessible, can be crowded during festivals",Temple volunteers explain rituals,"Available, ₹20-50 depending on festivals","Prasad shops, restaurants, accommodations, pichwai painting shops","Famous Krishna temple, pichwai paintings, Shrinathji deity, elaborate daily rituals, major pilgrimage center"
"Desert National Park, Jaisalmer (Rajasthan)",Desert Ecosystem / National Park,Not documented,https://en.wikipedia.org/wiki/Desert_National_Park,Jaisalmer Railway Station (45 km),Jaisalmer Main Bus Stand (40 km),No metro available,Jaisalmer Airport (50 km),6:00 AM to 6:00 PM," Indians ₹200, Foreigners ₹800; Vehicle charges extra","October to March (pleasant weather, bird migration)","4WD vehicles recommended, guided safaris only",Forest department guides mandatory,"Available at park entrance, ₹50","Limited facilities, basic refreshments","India's largest national park, Great Indian Bustard habitat, fossil park, desert ecosystem showcase"
"Kuldhara Village, Jaisalmer (Rajasthan)",Abandoned Village / Historical Site,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Kuldhara,Jaisalmer Railway Station (18 km),Jaisalmer Main Bus Stand (17 km),No metro available,Jaisalmer Airport (20 km),8:00 AM to 6:00 PM," Indians ₹30, Foreigners ₹100",October to March (pleasant weather),"Road accessible, walking required in village",Local guides available for village history,"Available, ₹20-30 per vehicle","Interpretation center, basic facilities","13th-century abandoned Paliwal Brahmin village, mysterious overnight exodus, archaeological significance, ghost village stories"
"Mandore Gardens, Jodhpur (Rajasthan)",Garden / Memorial Complex,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Mandore,Jodhpur Junction (9 km),Central Bus Stand (8 km),No metro available,Jodhpur Airport (6 km),8:00 AM to 8:00 PM (Daily)," Indians ₹20, Foreigners ₹50",October to March (pleasant weather),"Road accessible, well-maintained paths",Available for historical context,"Available, ₹20-30 per vehicle","Museum, cafeteria, restrooms, gardens","Ancient capital of Marwar, cenotaphs of Jodhpur rulers, Hall of Heroes, temple ruins, rock terraces"
"Osian Temples, Jodhpur (Rajasthan)",Temple Complex / Archaeological Site,https://www.tourism.rajasthan.gov.in,https://en.wikipedia.org/wiki/Osian,Osian Railway Station (2 km),Osian (1 km),No metro available,Jodhpur Airport (65 km),Sunrise to sunset,Not documented,October to March (pleasant weather),"Road accessible, desert location",Local guides available for temple history,"Available, ₹20-30 per vehicle","Desert camps, camel safari operators, basic facilities","8th-12th century Jain and Hindu temples, desert oasis town, camel safari base, ancient Silk Route stop"
