Name,Location,District,State,Type,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility
Yamunotri Temple,Uttarkashi,Uttarkashi,Uttarakhand,Religious / Pilgrimage (Hindu Temple),Not documented,https://en.wikipedia.org/wiki/Yamunotri_Temple,Not documented,Hanuman Chatti (base for trek) / Janki Chatti / Uttarkashi town,No metro available,Dehradun’s Jolly Grant Airport (approx. Not documented),Open during pilgrimage season (spring to autumn); temple access requires trekking; exact daily opening & closing hours Not documented,No general entry fee; charges for trek/pony/palanquin transport etc. as applicable,May-June and September-October (before heavy snow / monsoon; good weather/trek conditions),Trek route from Hanuman Chatti / Janki Chatti; steep path; not wheelchair-friendly; horses/palanquins available part-way
Kedarnath Temple,Rudraprayag,Rudraprayag,Uttarakhand,Religious / Pilgrimage (Jyotirlinga Shiva Temple),badrinath-kedarnath.gov.in,https://en.wikipedia.org/wiki/Kedarnath_Temple,Not documented (nearest big railheads are at Rishikesh / Dehradun / Haridwar etc.),Gaurikund (base for trek) / other local bus service points,No metro available,Dehradun (Jolly Grant Airport) (approx. Not documented),Open to public only during specified season (from Akshaya Tritiya in April to Kartik Purnima in November) due to snow / weather closures,Not documented,April/May to October/November (pilgrimage season; good weather),Trek of ~16-18 km from Gaurikund or up by pony/palanquin/helicopter; steep and high altitude; not wheelchair-friendly
Nainital,Nainital,Nainital,Uttarakhand,Hill Station / Lake tourism / Scenic Town,Uttarakhand Tourism page for Nainital (uttarakhandtourism.gov.in),https://en.wikipedia.org/wiki/Nainital,Kathgodam Railway Station (approx. 34-40 km),Nainital Bus Stand (approx. central town) / Haldwani bus services,No metro available,Pantnagar Airport (approx. ~70-80 km) / Dehradun Airport more distant,"For specific attractions around Nainital (cable car, boating etc.) there are timings; but for town general area open all day",Some attractions like ropeway / cable car have charges; general town entry is free,"March-June, September-December (pleasant temperature; avoid heavy monsoon; views clear)",Roads leading up are well developed; steep local roads; many viewpoints accessible by road; inner steep paths; limited wheelchair-friendly zones in town centre; boating etc. may require walking steps
Mussoorie,Mussoorie,Dehradun,Uttarakhand,Hill Station / Scenic Town / Colonial Era Tourism,Uttarakhand Tourism pages for Mussoorie (uttarakhandtourism.gov.in),https://en.wikipedia.org/wiki/Mussoorie,Dehradun Railway Station (approx. 35-40 km),Mussoorie Bus Stand (in town) / Dehradun bus stand for longer buses,No metro available,Dehradun (Jolly Grant Airport) (approx. ~60-70 km),Town open year-round; some specific sites have their own visiting hours; exact opening/closing times vary and many are seasonal / weather-dependent,"For specific attractions (e.g., cable car, some parks, falls) there are fees; general town entry is free","March-June, September-October (pleasant weather; clear skies; avoid monsoon and heavy winter cold)",Roads well-paved; local steep roads; walking required at many viewpoints; not fully wheelchair-friendly in hilly areas; reaches snowfall in winter may block some roads
Jim Corbett National Park,Nainital / Pauri Garhwal area,Nainital / Pauri Garhwal,Uttarakhand,Wildlife Sanctuary / National Park / Eco-Tourism / Tiger Reserve,Uttarakhand Tourism / Corbett Park official site pages,https://en.wikipedia.org/wiki/Jim_Corbett_National_Park,Ramnagar Railway Station (approx. close to park entrance),Ramnagar Bus Stand / road connections from nearby towns,No metro available,Pantnagar / Dehradun / Lucknow depending on which zone,Safari-visiting months are generally October to June (park closed or limited in monsoon) — specific safari hours (morning/evening slots),Fees for permits / safari jeeps / night stays etc.; rates vary by zone and seat type,November to June (dry season; good wildlife sightings; avoid monsoon rains),Park roads maintained; safari tracks can be rough; walking in some bush; not wheelchair-friendly in core forest zones; lodging requires travel from entry gates
Auli,Auli,Chamoli,Uttarakhand,Hill Station / Ski Destination / Scenic / Trekking Base,Uttarakhand Tourism pages for Auli,https://en.wikipedia.org/wiki/Auli,Not documented,Joshimath bus services (base) / local bus stands,No metro available,"Jolly Grant Airport, Dehradun (for many visitors) / Dehradun / some regional airfields",Ski season & ropeway operational season; many facilities open seasonally; exact timings Not documented fully,Ropeway fees / ski-equipment / slope access may have charges; general hill station access free,Winter (December-February) for skiing; April-June for summer visuals; September-October for post-monsoon clarity of views,"Steep mountain roads; for snow & ski, special infrastructure; intermediate trekking possible; not friendly for wheelchairs on many slopes; ropeways help accessibility for some spots"
Valley of Flowers National Park,Chamoli,Chamoli,Uttarakhand,Eco-Tourism / Wildflower Valley / Trekking / UNESCO World Heritage Site,Uttarakhand Tourism page for Valley of Flowers,https://en.wikipedia.org/wiki/Valley_of_Flowers_National_Park,Not documented,Govindghat (base) / Joshimath / local bus access,No metro available,Dehradun / Jolly Grant or regionally accessible,Opens seasonally (usually June to September) when wildflowers bloom; rest of year trails/valley closed or difficult due to snow/rainfall,Park permit / trek permit charges; fees apply for guides / entry,June to early September (flower bloom season; good weather); avoid heavy rains or snow blockage,Trek from base (Govindghat) over several days; high altitude; rough trails; not wheelchair-friendly; porters / guides needed; basic shelters on route
Badrinath Temple,Badrinath,Chamoli,Uttarakhand,"Religious / Pilgrimage (Vishnu Temple, Char Dham)",uttarakhandtourism.gov.in pages for Badrinath (Uttarakhand Tourism),https://en.wikipedia.org/wiki/Badrinath,Not documented (nearest railheads are remote / multiple transit points),Badrinath Bus Stand (local) / upstream pilgrimage bus network,No metro available,"Jolly Grant Airport, Dehradun (for many pilgrimage traffic) / regionally closer helipads in some years",Open during Char Dham season (usually April / May to October / November); temple may have designated darshan timings; outside season closed due to snow / weather,No general entry fee for temple; charges for accommodation / lodging; sometimes optional offerings,"May to June, September to October (pleasant weather; during pilgrimage season; avoid monsoon heavy rain and winter snow blockages)","Mountain roads leading up; altitude ~3,300m; roads are steep & winding; limited wheelchair access; certain sections may require walking on steep slopes; pilgrims often use palanquins / helicopters in some cases"
Gori Ganga River,Pithoragarh,Pithoragarh,Uttarakhand,River / Eco-Tourism Destination,Not documented,Gori Ganga River – Wikipedia,Kathgodam Railway Station (~210 km),Munsiyari Bus Stand (~8 km),No metro available,Pantnagar Airport (~250 km),Open 24x7 (natural site),Free,"April–June, September–October (pleasant climate, clear river flow)","Reachable by road till Munsiyari, trekking required for certain viewpoints; not wheelchair-friendly"
Pindar River,Bageshwar,Bageshwar,Uttarakhand,River / Trekking Destination,Not documented,Pindar River – Wikipedia,Kathgodam Railway Station (~180 km),Bageshwar Bus Stand (~20 km),No metro available,Pantnagar Airport (~210 km),Open 24x7 (natural site),Free,"May–June & September–October (before heavy snowfall, after monsoons)",Good road connectivity till Bageshwar; trekking required to reach upper valleys; not wheelchair-friendly
Vasudhara Falls,Badrinath Region,Chamoli,Uttarakhand,Waterfall / Trekking Destination,Not documented,Vasudhara Falls – Wikipedia,Rishikesh Railway Station (~320 km),"Badrinath Bus Stand (~2 km to Mana village, then 6 km trek)",No metro available,"Jolly Grant Airport, Dehradun (~315 km)",Open 24x7 (trek accessible during summer months),Free,"May–October (after snow melts, before winter closure)","Motorable road to Mana village is available. From there, it is a 6 km trek to the falls."
Dayara Bugyal,Uttarkashi,Uttarkashi,Uttarakhand,High-Altitude Meadow / Trekking Destination,Not documented,Dayara Bugyal – Wikipedia,Rishikesh Railway Station (~220 km),Uttarkashi Bus Stand (~45 km),No metro available,Jolly Grant Airport (~215 km),Open year-round (seasonal trekking conditions apply),"Free (trekking package costs vary, ₹2000–₹5000 per trek)","May–June & September–October (lush meadows, clear views)",Not documented
Bedni Bugyal,Chamoli,Chamoli,Uttarakhand,High-Altitude Meadow / Trekking Destination,Not documented,Bedni Bugyal – Wikipedia,Kathgodam Railway Station (~210 km),Lohajung (~10 km trek base),No metro available,Pantnagar Airport (~230 km),Open year-round (trekking route access varies by season),Free (trekking package charges apply),"May–June & September–October (flowers, greenery, clear skies)",Not documented
Khaliya Bugyal,Pithoragarh,Pithoragarh,Uttarakhand,High-Altitude Meadow / Trekking Destination,Not documented,Khaliya Bugyal – Wikipedia,Kathgodam Railway Station (~275 km),Munsiyari (~6 km trek base),No metro available,Pantnagar Airport (~250 km),Open year-round (snow treks in winter),Free,"April–June (green meadows) & October–November (snow, panoramic peaks)",Not documented
Kempty Falls,"Ram Gaon, Mussoorie",Mussoorie,Uttarakhand,Waterfall / Picnic Spot,Not documented,Kempty Falls – Wikipedia,Dehradun Railway Station (~45 km),Mussoorie Bus Stand (~15 km),No metro available,Jolly Grant Airport (~60 km),8:00 AM – 5:00 PM,Free (boating & ropeway charges extra: ₹100–₹150),March–June & September–October (pleasant weather),Not documented
Tiger Falls,Chakrata,Dehradun,Uttarakhand,Waterfall / Trekking Destination,Not documented,Not documented,Dehradun Railway Station (~87 km),Chakrata (~20 km),No metro available,Jolly Grant Airport (~115 km),8:00 AM – 5:00 PM,Free,"July–October (lush greenery, waterfall in full flow)",Not documented
Neer Garh Falls,Rishikesh Area,Rishikesh,Uttarakhand,Waterfall / Trekking Spot,Not documented,Not documented,Rishikesh Railway Station (~9 km),Rishikesh Bus Stand (~10 km),No metro available,Jolly Grant Airport (~30 km),8:00 AM – 6:00 PM,₹30 per person,"September–March (pleasant weather, good water flow)",Not documented
Birthi Falls,Near Munsiyari,Pithoragarh,Uttarakhand,Waterfall / Eco-Tourism Destination,Not documented,Birthi Falls – Wikipedia,Kathgodam Railway Station (~200 km),Munsiyari (~33 km),No metro available,Pantnagar Airport (~240 km),Open 24x7 (day visits recommended),Free,July–September (monsoon for full flow),Not documented
